dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped
mimic-11site,CCU-care,2,2722,1527,7512,27,2.759735488611315,425,11.0,0.78125,172.65186655097995,0.9884159927308738,0.03421760788801781,1
mimic-11site,CCU-care,3,2722,2276,10234,27,3.759735488611315,425,11.0,0.7352941176470589,498.72981912923257,0.9939480558117499,-0.03805059743788031,0
mimic-11site,CCU-care,3,2722,2276,10234,27,3.759735488611315,425,11.0,0.7352941176470589,435.5061583391852,0.9930298645195265,-0.020849754197998838,0
mimic-11site,CCU-care,1,2722,2276,2276,27,0.8361498897869214,425,11.0,0.9259259259259259,25.262562656772943,0.960415734001875,-0.017200513585208188,0
mimic-11site,CCU-care,1,2722,2276,2276,27,0.8361498897869214,425,11.0,0.9259259259259259,78.9550503392083,0.9873345657345062,0.00977500264173814,1
mimic-11site,CCU-care,1,2722,1880,1880,27,0.6906686260102866,425,11.0,0.7352941176470589,158.22061172594385,0.9936797109485829,-0.011667979050512811,0
mimic-11site,CCU-care,1,2722,1880,1880,27,0.6906686260102866,425,11.0,0.7352941176470589,21.514308225245934,0.9535193049420687,0.011878998015615705,1
mimic-11site,CCU-care,2,2722,1527,3407,27,1.2516531961792798,425,11.0,0.7352941176470589,376.2240851882086,0.9955881205817159,-0.026804697867903793,0
mimic-11site,CCU-care,2,2722,1527,3407,27,1.2516531961792798,425,11.0,0.7352941176470589,215.01830060840194,0.9888565735355694,0.007040409393056779,1
mimic-11site,CCU-meta,3,1535,1527,9718,27,6.330944625407166,230,5.962962962962963,0.7575757575757576,234.5244339543063,0.9871923803977749,0.051880709769499656,1
mimic-11site,CCU-meta,3,1535,1527,9718,27,6.330944625407166,230,5.962962962962963,0.7575757575757576,237.83473211044299,0.9873440232690175,0.0703428448435523,1
mimic-11site,CCU-meta,4,1535,1535,9367,27,6.10228013029316,230,5.962962962962963,0.7352941176470589,318.2298486457634,0.9906476715268663,0.03706149149441812,1
mimic-11site,CCU-meta,4,1535,1535,9367,27,6.10228013029316,230,5.962962962962963,0.7352941176470589,318.1944784029938,0.9897262869718944,0.03679208189748856,1
mimic-11site,CCU-meta,3,1535,1535,7394,27,4.816938110749185,230,5.962962962962963,0.575,121.50352204786174,0.9869333814876833,0.020367684173416112,1
mimic-11site,CCU-meta,3,1535,1535,7394,27,4.816938110749185,230,5.962962962962963,0.575,233.55741643314585,0.9878246404404288,-0.003926412963609627,0
mimic-11site,CCU-meta,4,1535,1527,11423,27,7.441693811074918,230,5.962962962962963,0.575,672.4965062278961,0.9940481223967369,0.029092931784999665,1
mimic-11site,CCU-meta,4,1535,1527,11423,27,7.441693811074918,230,5.962962962962963,0.575,410.98757564399534,0.9902424321832604,-0.001977608425355548,0
mimic-11site,CCU-meta,3,1535,1527,6047,27,3.939413680781759,230,5.962962962962963,0.575,368.786609155272,0.9918652143935712,0.016938977609119832,1
mimic-11site,CCU-meta,3,1535,1527,6047,27,3.939413680781759,230,5.962962962962963,0.575,240.9094971645931,0.9875471908110357,-0.05984822411927093,0
mimic-11site,CCU-meta,2,1535,1535,4307,27,2.8058631921824104,230,5.962962962962963,0.575,137.17161863905673,0.9864740441784737,-0.012680289156681013,0
mimic-11site,CCU-meta,2,1535,1535,4307,27,2.8058631921824104,230,5.962962962962963,0.575,110.83861565402462,0.9819557472077884,-0.03713041704417236,0
mimic-11site,CCU-meta,4,1535,1527,7714,27,5.025407166123778,230,5.962962962962963,0.575,582.3898409514604,0.9931317013657492,0.005365748661028846,1
mimic-11site,CCU-meta,4,1535,1527,7714,27,5.025407166123778,230,5.962962962962963,0.575,426.60522153211133,0.9905994004165952,-0.00830248285934404,0
mimic-11site,CCU-meta,2,1535,1535,3911,27,2.547882736156352,230,5.962962962962963,0.575,130.36743846480306,0.9846071727519113,0.011661766154335229,1
mimic-11site,CCU-meta,2,1535,1535,3911,27,2.547882736156352,230,5.962962962962963,0.575,135.7334790919109,0.9852540915058059,-0.00505330009046262,0
mimic-11site,CCU-meta,4,1535,1535,15610,27,10.169381107491857,230,5.962962962962963,0.7352941176470589,491.21192743541144,0.9926703531291615,0.0462295352155232,1
mimic-11site,CCU-meta,4,1535,1535,15610,27,10.169381107491857,230,5.962962962962963,0.7352941176470589,386.8420154636155,0.9901880655993894,0.04803202856375077,1
mimic-11site,CCU-meta,3,1535,1535,13334,27,8.686644951140066,230,5.962962962962963,0.7352941176470589,256.97951041532866,0.9937631722948047,0.042216889402146185,1
mimic-11site,CCU-meta,3,1535,1535,13334,27,8.686644951140066,230,5.962962962962963,0.7352941176470589,310.8501509577339,0.9903490476335399,0.04722570729119763,1
mimic-11site,CCU-meta,2,1535,1527,4016,27,2.61628664495114,230,5.962962962962963,0.7575757575757576,213.3187727841655,0.9906043092088384,-0.0015726703521351526,0
mimic-11site,CCU-meta,2,1535,1527,4016,27,2.61628664495114,230,5.962962962962963,0.7575757575757576,195.54005040294334,0.9904254226297513,-0.043841545809436056,0
mimic-11site,CCU-meta,1,1535,1527,1527,27,0.9947882736156352,230,5.962962962962963,0.78125,54.21278412353801,0.9815541663065811,0.0021096533297561004,1
mimic-11site,CCU-meta,1,1535,1527,1527,27,0.9947882736156352,230,5.962962962962963,0.78125,88.31367796572769,0.9886767257005412,-0.005220333783057696,0
mimic-11site,CSRU-care,4,3483,1535,8626,35,2.4766006316393914,207,4.142857142857143,0.575,393.19506279098584,0.9929603301073826,0.046870166234248556,1
mimic-11site,CSRU-care,4,3483,1535,8626,35,2.4766006316393914,207,4.142857142857143,0.575,373.0150550658764,0.9916837821495108,0.06010433563334139,1
mimic-11site,CSRU-care,4,3483,1527,8273,35,2.3752512202124607,207,4.142857142857143,0.5897435897435898,378.5202676783471,0.9909221169755104,0.04062103879110668,1
mimic-11site,CSRU-care,4,3483,1527,8273,35,2.3752512202124607,207,4.142857142857143,0.5897435897435898,344.75332555709736,0.9893419300358043,0.05589224861130537,1
mimic-11site,CSRU-care,3,3483,1880,6878,35,1.9747344243468274,207,4.142857142857143,0.575,204.44210648895725,0.9907232245856602,0.04716234192252711,1
mimic-11site,CSRU-care,3,3483,1880,6878,35,1.9747344243468274,207,4.142857142857143,0.575,313.6129231911374,0.9926327889464266,0.01811508430732317,1
mimic-11site,CSRU-care,2,3483,1535,3415,35,0.9804766006316394,207,4.142857142857143,0.575,99.14214456791632,0.987541645743036,0.02396845916061008,1
mimic-11site,CSRU-care,2,3483,1535,3415,35,0.9804766006316394,207,4.142857142857143,0.575,204.3856906929159,0.9925812209074252,0.0635250341442215,1
mimic-11site,CSRU-care,4,3483,1527,15012,35,4.310077519379845,207,4.142857142857143,0.631578947368421,262.7972161867175,0.9887414194467125,0.06086162176077947,1
mimic-11site,CSRU-care,4,3483,1527,15012,35,4.310077519379845,207,4.142857142857143,0.631578947368421,155.52767794438526,0.9809948192349188,0.024947995266163037,1
mimic-11site,CSRU-care,4,3483,1880,12385,35,3.5558426643697962,207,4.142857142857143,0.7368421052631579,305.4643414985135,0.9915562390483681,0.06915108809497167,1
mimic-11site,CSRU-care,4,3483,1880,12385,35,3.5558426643697962,207,4.142857142857143,0.7368421052631579,254.37876384060752,0.9896991050269912,0.027037143807792874,1
mimic-11site,CSRU-care,3,3483,1880,9380,35,2.6930806775768015,207,4.142857142857143,0.631578947368421,148.04700740843055,0.988433945659521,0.048995301310500006,1
mimic-11site,CSRU-care,3,3483,1880,9380,35,2.6930806775768015,207,4.142857142857143,0.631578947368421,203.2321608985817,0.9879755837594106,0.033841032207792554,1
