method,stratum,brier,ece,slope,auprc,dataset
pooled,all,0.013960550171824808,0.018954921660161165,1.3074180662797958,0.9430020038483538,hypothyroid
pooled,high_miss,0.0029156361806260676,0.01510925072773736,6.358584185372993,1.0,hypothyroid
pattern,all,0.029234600862089673,0.05227003506714953,3.031276981112161,0.9155099920536424,hypothyroid
pattern,high_miss,0.01768144260341905,0.05181824911821422,7.312402542625296,0.9855769230769229,hypothyroid
pooled,all,0.02078145148157746,0.014215444418432761,0.5282197161624103,0.8018432405863268,hypothyroid
pooled,high_miss,0.02720036769426715,0.011451365003903879,0.37692700205877167,0.7148572223489964,hypothyroid
pattern,all,0.03309949418962116,0.04655033117344724,2.0994954148268135,0.8344168554522148,hypothyroid
pattern,high_miss,0.03819455776375317,0.044280616353110036,1.86260938904798,0.8203919773926176,hypothyroid
pooled,all,0.022403336114809068,0.027709816175142416,2.1243404592278425,0.9197776347930534,hypothyroid
pooled,high_miss,0.025466330149603932,0.030814056305762227,2.0639563445732856,0.9004055507415724,hypothyroid
pattern,all,0.03559312959068218,0.044401209764778564,2.596162326898471,0.822680113739897,hypothyroid
pattern,high_miss,0.04040487313937624,0.055444662515632515,3.2749600096845826,0.8125604113865209,hypothyroid
pooled,all,0.01779661350173365,0.026546917533426015,1.5029763992787586,0.9378535988608919,hypothyroid
pooled,high_miss,0.012528065781783122,0.014499679491094906,2.200232052994878,0.9455128205128205,hypothyroid
pattern,all,0.03192827928377308,0.054829035109332194,2.998135747784266,0.8822771061714977,hypothyroid
pattern,high_miss,0.029120626105468193,0.05283714481351996,3.655048558443631,0.8809676434676436,hypothyroid
pooled,all,0.047361908586606105,0.01708909350886444,0.963171128526716,0.9437674035200143,support2
pooled,high_miss,0.03470189198224725,0.014276036461222844,0.9459954374602945,0.9561408495410655,support2
pattern,all,0.0767609213556553,0.03511070724060844,1.0707875249932688,0.8981191366692531,support2
pattern,high_miss,0.06838766965192859,0.046304032752362646,1.0061161759015964,0.9134954160929963,support2
pooled,all,0.049889387116275476,0.02757189828864263,0.8822204153214677,0.9333550282277319,support2
pooled,high_miss,0.03592460463873696,0.024342707298673435,0.7928620515731719,0.9261547974084096,support2
pattern,all,0.07363601614254314,0.02875298407326083,1.1115279675082739,0.8958426470872538,support2
pattern,high_miss,0.062166100434769035,0.04664753025130051,1.086548563048989,0.9021731550485873,support2
pooled,all,0.04916090698891525,0.02320869295036432,0.9722275675729986,0.9443218632588459,support2
pooled,high_miss,0.03591907352431234,0.020610672542102002,0.9565710008789815,0.9451612953890801,support2
pattern,all,0.081901789853219,0.029962512289702255,1.0798039416653262,0.8891642461781003,support2
pattern,high_miss,0.0786839334017682,0.07266807853138502,1.0202389668322358,0.8973247784960703,support2
pooled,all,0.04373938049896649,0.017749460070505124,1.0585715462554477,0.953069630759457,support2
pooled,high_miss,0.03249043803529082,0.020662653129516737,1.069650038137308,0.9609132843092842,support2
pattern,all,0.07376223384744889,0.03743674946371675,1.1282643760464455,0.901671471351244,support2
pattern,high_miss,0.06476457077952828,0.0515132574780704,1.1278517504062806,0.9170636224311914,support2
pooled,all,0.054273430366098135,0.019086910308453477,0.8977295538928705,0.9421445689973497,support2
pooled,high_miss,0.04335078108283435,0.020018563514186908,0.8367890162935936,0.9437369222196832,support2
pattern,all,0.08332953887475605,0.02870694759452815,1.0150615944913244,0.884799831010737,support2
pattern,high_miss,0.0725634048420093,0.06087904866844313,1.0417743438929645,0.9030795964847931,support2
pooled,all,0.04681988186711494,0.01869387462736064,0.9774059322637373,0.9454369291149958,support2
pooled,high_miss,0.03889776821857841,0.029143098791685078,0.8397814764992376,0.9366148256494398,support2
pattern,all,0.0722801694668779,0.03847781346479142,1.1329880153055452,0.90028957901122,support2
pattern,high_miss,0.06417463454836878,0.05686821753973434,1.0678938800967774,0.8998418125051193,support2
pooled,all,0.0510374395868738,0.02490478660617439,0.8573011682453731,0.9343055904266326,support2
pooled,high_miss,0.03404447076663097,0.01741962529707962,0.8332357669943175,0.9429707648219228,support2
pattern,all,0.07876652976109705,0.031637890742867346,1.032490029339844,0.893763017793448,support2
pattern,high_miss,0.06393691501778734,0.05196225337642571,1.0522080445562563,0.9153154430539738,support2
pooled,all,0.05523460791783523,0.024774649615611776,0.8314421873367762,0.9391703771802656,support2
pooled,high_miss,0.04144154311576084,0.012519450553208812,0.8519894088233166,0.9509650987227041,support2
pattern,all,0.08285801383091765,0.03175916779228393,1.0433928080275214,0.8890994991466176,support2
pattern,high_miss,0.0785053718439486,0.06641196349168244,1.0468198803182212,0.8984218725498834,support2
pooled,all,0.04457224833477627,0.01620048294125399,1.03588848122632,0.9517018793722631,support2
pooled,high_miss,0.030938225657660495,0.025704944351712097,1.0873211563997014,0.958769050665502,support2
pattern,all,0.08055968070131572,0.024317049870250813,1.0775767338839004,0.8939750974111117,support2
pattern,high_miss,0.07075693846178614,0.05745161873465793,1.1110170698275066,0.9210342144568016,support2
pooled,all,0.04752354443428661,0.01769048601022309,1.0791803733817684,0.9486190632263254,support2
pooled,high_miss,0.03772206072568589,0.023981196872202105,0.9752330715079407,0.9515112515499364,support2
pattern,all,0.0779660865746635,0.03409857570070644,1.0870696643169087,0.8956414942131738,support2
pattern,high_miss,0.07034524101419201,0.05105843574252299,1.0236140967973937,0.909162619294049,support2
pooled,all,0.053013435290076634,0.025706942508227446,0.8808170048096298,0.935754202886399,support2
pooled,high_miss,0.04740418000025569,0.02397320563413786,0.7320979730162134,0.9171098829025969,support2
pattern,all,0.08192039921472095,0.0311301742830686,0.977457941265805,0.8778490215636227,support2
pattern,high_miss,0.07990288949293613,0.051784438543077585,0.9052852555937366,0.8612805214155566,support2
pooled,all,0.054284719295490357,0.025455627057220372,0.9020803291682241,0.9343249101316504,support2
pooled,high_miss,0.042632011424137035,0.03302695530928167,0.8525210266695633,0.9324693752024152,support2
pattern,all,0.07794998605723083,0.034083187432946666,1.1314724522914423,0.8948409388518066,support2
pattern,high_miss,0.07168003787709716,0.06715411699007809,1.0820422771669604,0.8959902812706009,support2
pooled,all,0.04631447385077066,0.01931484548893271,1.004807939840995,0.950617489315159,support2
pooled,high_miss,0.03553853114502314,0.021648318317698985,0.948110138297568,0.9591373291137134,support2
pattern,all,0.07805575273607576,0.030751847528283853,1.1078639572751823,0.8976945052141443,support2
pattern,high_miss,0.06797463241151473,0.058378134877160155,1.079852956682558,0.9144977295227696,support2
pooled,all,0.047127108370062176,0.02075555305950139,0.9205979509039698,0.9381246161644062,support2
pooled,high_miss,0.02772850125484561,0.018047944219781314,1.045893078968582,0.9536495768384088,support2
pattern,all,0.07659454382776823,0.037555006962292685,1.0912435177349469,0.8968882052165515,support2
pattern,high_miss,0.06300495517702887,0.057447521415418146,1.1569820313360188,0.929227932872441,support2
pooled,all,0.046389134319876006,0.014476176756017364,1.05952339257305,0.9567838779040122,support2
pooled,high_miss,0.033741369041635605,0.018285364465766812,0.9939674220056759,0.96446962732508,support2
pattern,all,0.07657820986441234,0.022493894457901453,1.0902183443368445,0.8985972430079496,support2
pattern,high_miss,0.06616869847282562,0.04638710872028274,1.0790335317483888,0.9216647643257924,support2
