dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_1se,lam_cv,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_blend_1se,ap_blend_cv,ap_oracle_extrap,ap_oracle_rich,ap_oracle_half,ap_oracle_honest,ap_blend_half,ap_ditto,ap_oracle_ditto,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.5,0.875,0.125,0.625,0.5,36,3,0.3173539991193024,0.3399658899822831,0.3399658899822831,0.3173539991193024,0.3411374759324665,0.32848223864239684,0.3411374759324665,0.34090646314071976,0.3399658899822831,0.34178101071127553,0.3400890513172012,0.32223041428514543,0.3388143135336202,0.34178101071127553,0.34178101071127553,0.3512966630377613,0.3407561677096208,0.3458519447726397,0.3381604664973342,0.3394452304979164,0.34315854329528606,0.3173539991193024,2.103448275862069,0.3173539991193024
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.625,1.0,0.625,0.875,0.5,36,3,0.336894008870085,0.3575941375220926,0.3575941375220926,0.3575941375220926,0.3518372838232295,0.34322863644812424,0.35105870186423316,0.353791722884612,0.3575941375220926,0.3575941375220926,0.3493528547157997,0.3518372838232295,0.35734080245488253,0.3575941375220926,0.3575941375220926,0.373815508074419,0.34486791715865744,0.3550282159464141,0.35440322365602395,0.35756824108907337,0.3575941375220926,0.336894008870085,2.103448275862069,0.336894008870085
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.5,0.125,0.5,0.625,0.375,36,3,0.29803286006994156,0.2761503514581262,0.2761503514581262,0.29803286006994156,0.2963650088154153,0.29928440246714955,0.2963650088154153,0.2881911321950232,0.29803286006994156,0.29968044455848386,0.29809512705870744,0.2963650088154153,0.29483394524173934,0.29968044455848386,0.29968044455848386,0.30723660765561794,0.29688196991155125,0.30420494236168494,0.30955174859317036,0.3107358062905425,0.29922781440868396,0.29803286006994156,2.103448275862069,0.29803286006994156
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,1.0,0.25,0.75,0.625,1.0,36,3,0.32187521962290294,0.3060005054956131,0.3060005054956131,0.3060005054956131,0.3060005054956131,0.3224627413761088,0.31970551362491856,0.3153549487332149,0.32187521962290294,0.3224627413761088,0.3060005054956131,0.3153549487332149,0.3169759509101796,0.32351986726498233,0.32351986726498233,0.3416089506106609,0.32303843840557267,0.325084643108547,0.31031507280041637,0.3194080919894136,0.32462683130634423,0.32187521962290294,2.103448275862069,0.32187521962290294
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.5,0.625,0.5,0.75,0.625,36,3,0.35158335467847635,0.35705679423733927,0.35705679423733927,0.35705679423733927,0.36283073413273464,0.3549415377296943,0.36283073413273464,0.3648278613172263,0.35705679423733927,0.3676441638907167,0.37118496242835497,0.36283073413273464,0.3648278613172263,0.3676441638907167,0.3676441638907167,0.3723413525553849,0.3672899729877032,0.36725328205164937,0.3541465409811932,0.3571206030793627,0.37118496242835497,0.35158335467847635,2.103448275862069,0.35158335467847635
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.5,1.0,0.5,0.625,0.375,36,3,0.34826413715444277,0.39198467241239265,0.39198467241239265,0.34826413715444277,0.37248984211639724,0.358919502602334,0.37248984211639724,0.3854010322260159,0.39198467241239265,0.39198467241239265,0.373714767345967,0.37248984211639724,0.3823437625220862,0.39198467241239265,0.39198467241239265,0.3980028404811747,0.3879625594410181,0.37925953424919356,0.34983784512888433,0.3771765563649757,0.39198467241239265,0.34826413715444277,2.103448275862069,0.34826413715444277
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,1.0,0.5,0.875,0.625,1.0,36,3,0.4092145479713987,0.40373817120425737,0.40373817120425737,0.40373817120425737,0.40373817120425737,0.4145561811173226,0.4178451169425142,0.41571056786348315,0.4092145479713987,0.4178451169425142,0.40373817120425737,0.4106482424445806,0.41750868457375007,0.4178451169425142,0.4178451169425142,0.42328389606591554,0.4222083675633819,0.412893989748782,0.42224553046507945,0.4223027789812372,0.41077889684886876,0.4092145479713987,2.103448275862069,0.4092145479713987
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.625,0.875,0.625,0.625,0.625,36,3,0.34393305672462177,0.36727230790212956,0.36727230790212956,0.36727230790212956,0.363222002327359,0.35491934580749235,0.3605481775260436,0.36632009539596366,0.36727230790212956,0.367668646029112,0.36484190778646514,0.363222002327359,0.363222002327359,0.367668646029112,0.367668646029112,0.3671659414741999,0.3628827021679963,0.35938144659675164,0.36771144544483175,0.36771144544483175,0.36727230790212956,0.34393305672462177,2.103448275862069,0.34393305672462177
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.625,0.75,0.625,0.625,0.625,36,3,0.34547175468447533,0.3489147238903084,0.3489147238903084,0.3489147238903084,0.35297124707073607,0.3507446006270405,0.35342590964176124,0.35427387215453154,0.3489147238903084,0.35427387215453154,0.3606935399110727,0.35297124707073607,0.35297124707073607,0.35427387215453154,0.35427387215453154,0.36196005522504954,0.36155780537470084,0.35721350895525183,0.3427847395608078,0.3437114524634434,0.3634818478353514,0.34547175468447533,2.103448275862069,0.34547175468447533
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.25,0.625,0.125,0.75,0.125,36,3,0.36607440491657106,0.3688267443888426,0.3688267443888426,0.36607440491657106,0.37383082730523437,0.37383082730523437,0.37710879283542303,0.37815461947511064,0.3688267443888426,0.3785030591071575,0.373837763546937,0.36956238504599853,0.37815461947511064,0.3785030591071575,0.3785030591071575,0.38362270584086977,0.38194352970815126,0.37965859316909933,0.3636890905142758,0.37318384152863016,0.3795202795075532,0.36607440491657106,2.103448275862069,0.36607440491657106
