dataset,target,seed,n_partners,n_target,epv_target,kind,benefit,helped,slope_last,climb_half,level
mimic-11site,TSICU-meta,0,2,1527,5.2,lr,0.0438710957764169,1,0.11388886162654858,0.17445148035089092,0.3769614342580209
mimic-11site,TSICU-meta,0,2,1527,5.2,gb,0.05358088069339112,1,0.09497149757400494,0.043694277369271374,0.31054518572248196
mimic-11site,TSICU-meta,1,2,1527,5.2,lr,-0.015722272155420047,0,0.02095793526378832,0.028680560693773255,0.3426888437776287
mimic-11site,TSICU-meta,1,2,1527,5.2,gb,0.03890033651372776,1,0.0024961159681233646,0.09105013238400328,0.3157134290070607
mimic-11site,TSICU-meta,0,4,1527,5.2,lr,0.06409516951787397,1,0.11388886162654858,0.17445148035089092,0.3769614342580209
mimic-11site,TSICU-meta,0,4,1527,5.2,gb,0.059860667610417584,1,0.09497149757400494,0.043694277369271374,0.31054518572248196
mimic-11site,TSICU-meta,1,4,1527,5.2,lr,0.005612176388393841,1,0.02095793526378832,0.028680560693773255,0.3426888437776287
mimic-11site,TSICU-meta,1,4,1527,5.2,gb,0.05759572153545295,1,0.0024961159681233646,0.09105013238400328,0.3157134290070607
mimic-11site,TSICU-meta,0,3,1527,5.2,lr,0.05432964346533131,1,0.11388886162654858,0.17445148035089092,0.3769614342580209
mimic-11site,TSICU-meta,0,3,1527,5.2,gb,0.0689473009565294,1,0.09497149757400494,0.043694277369271374,0.31054518572248196
mimic-11site,TSICU-meta,1,3,1527,5.2,lr,-0.005010766519564891,0,0.02095793526378832,0.028680560693773255,0.3426888437776287
mimic-11site,TSICU-meta,1,3,1527,5.2,gb,0.03664353071326448,1,0.0024961159681233646,0.09105013238400328,0.3157134290070607
mimic-11site,TSICU-meta,0,2,1527,5.2,lr,0.06965499368338773,1,0.11388886162654858,0.17445148035089092,0.3769614342580209
mimic-11site,TSICU-meta,0,2,1527,5.2,gb,0.07953899414603421,1,0.09497149757400494,0.043694277369271374,0.31054518572248196
mimic-11site,TSICU-meta,1,2,1527,5.2,lr,0.001866710319695708,1,0.02095793526378832,0.028680560693773255,0.3426888437776287
mimic-11site,TSICU-meta,1,2,1527,5.2,gb,0.038720040137704304,1,0.0024961159681233646,0.09105013238400328,0.3157134290070607
mimic-11site,TSICU-meta,0,3,1527,5.2,lr,0.07476691059609558,1,0.11388886162654858,0.17445148035089092,0.3769614342580209
mimic-11site,TSICU-meta,0,3,1527,5.2,gb,0.10515383844952947,1,0.09497149757400494,0.043694277369271374,0.31054518572248196
mimic-11site,TSICU-meta,1,3,1527,5.2,lr,0.0038780855495542665,1,0.02095793526378832,0.028680560693773255,0.3426888437776287
mimic-11site,TSICU-meta,1,3,1527,5.2,gb,0.05593853461613263,1,0.0024961159681233646,0.09105013238400328,0.3157134290070607
mimic-11site,TSICU-meta,0,3,1527,5.2,lr,0.07863211979527623,1,0.11388886162654858,0.17445148035089092,0.3769614342580209
mimic-11site,TSICU-meta,0,3,1527,5.2,gb,0.07546809593470472,1,0.09497149757400494,0.043694277369271374,0.31054518572248196
mimic-11site,TSICU-meta,1,3,1527,5.2,lr,0.020699387289805637,1,0.02095793526378832,0.028680560693773255,0.3426888437776287
mimic-11site,TSICU-meta,1,3,1527,5.2,gb,0.027633101078816724,1,0.0024961159681233646,0.09105013238400328,0.3157134290070607
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,4,8420,7.222222222222222,lr,-0.019722702815982762,0,0.009129147946290085,0.06558048914279632,0.33751999710778735
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,4,8420,7.222222222222222,gb,-0.005531981011828613,0,0.10459310708100604,0.17920286810471747,0.3555604061668379
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,4,8420,7.222222222222222,lr,-0.01184815398085165,0,-0.0068873105168460414,-0.012078254599258131,0.310170425099376
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,4,8420,7.222222222222222,gb,-0.03185875862274773,0,-0.020339008382944893,0.11762413159941458,0.30784109279011845
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,3,8420,7.222222222222222,lr,0.022953816072578237,1,0.009129147946290085,0.06558048914279632,0.33751999710778735
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,3,8420,7.222222222222222,gb,0.01850393413630308,1,0.10459310708100604,0.17920286810471747,0.3555604061668379
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,3,8420,7.222222222222222,lr,0.018993560570940204,1,-0.0068873105168460414,-0.012078254599258131,0.310170425099376
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,3,8420,7.222222222222222,gb,-0.008010227010943172,0,-0.020339008382944893,0.11762413159941458,0.30784109279011845
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,4,8420,7.222222222222222,lr,-0.025335773790968796,0,0.009129147946290085,0.06558048914279632,0.33751999710778735
