dataset,target,seed,k_partners,epv_target,w_nweight,w_oracle,w_cv,auprc_merge,auprc_local,auprc_oracle,auprc_cv,auprc_w0,auprc_w1,auprc_w2,auprc_w3,auprc_w4,auprc_w5,auprc_w6,auprc_w7,auprc_w8,auprc_w9,auprc_w10
mimic_sites_unit_x_system,CCU-care,0,2,11.0,0.2659761579050225,0.0,0.3,0.3461072992387093,0.33113177513223163,0.3461072992387093,0.3431611146562407,0.3461072992387093,0.34300824661978774,0.34445908786487184,0.3431611146562407,0.34270103713717553,0.3441505620321497,0.3411185689455014,0.3384427100455295,0.3360430456860185,0.3347535413118211,0.33113177513223163
mimic_sites_unit_x_system,CCU-care,1,2,11.0,0.2659761579050225,0.0,0.8,0.40544167403641956,0.3622684944802972,0.40544167403641956,0.3721912328900283,0.40544167403641956,0.4014081379471076,0.3997374298965073,0.39529379684390453,0.3914365855249987,0.38540719624773323,0.38033747806660295,0.37693010329165333,0.3721912328900283,0.36775175751711014,0.3622684944802972
mimic_sites_unit_x_system,CCU-care,2,2,11.0,0.2659761579050225,0.9,0.5,0.363105589593377,0.38857868847896354,0.3892942105385905,0.38299435820079836,0.363105589593377,0.36876352652983074,0.37177207612593377,0.3747393884896486,0.3781092657071014,0.38299435820079836,0.38529666254481887,0.3852976815672538,0.38690293418667504,0.3892942105385905,0.38857868847896354
mimic_sites_unit_x_system,CCU-care,3,2,11.0,0.2659761579050225,0.8,0.3,0.36808329036080945,0.37338512857220935,0.3756028738540443,0.37472928321233173,0.36808329036080945,0.36966409477154066,0.37182249192142625,0.37472928321233173,0.37498427729954836,0.3752276257453218,0.3739558603541751,0.3752019576271012,0.3756028738540443,0.37365031201502535,0.37338512857220935
mimic_sites_unit_x_system,CCU-care,4,2,11.0,0.2659761579050225,1.0,0.3,0.34449564485031253,0.36341819993454055,0.36341819993454055,0.3510759027142883,0.34449564485031253,0.34659885222892234,0.35034482214518775,0.3510759027142883,0.35187013935154315,0.35431902689568195,0.3562562607845305,0.35952931838337976,0.3606063986658055,0.3607502240183772,0.36341819993454055
mimic_sites_unit_x_system,CCU-care,5,2,11.0,0.2659761579050225,0.2,0.4,0.3575303253060024,0.3397521489950958,0.35986695239276595,0.35569957249313733,0.3575303253060024,0.3575468624861744,0.35986695239276595,0.35895518350569594,0.35569957249313733,0.353242023650272,0.35043537797866514,0.34726004335497773,0.3460006177699792,0.34249397972427476,0.3397521489950958
mimic_sites_unit_x_system,CCU-care,6,2,11.0,0.2659761579050225,0.5,0.2,0.3408132724098247,0.3342310351622431,0.34145617116335314,0.3397682960518958,0.3408132724098247,0.33932512774729706,0.3397682960518958,0.3408478717755661,0.3407475351229929,0.34145617116335314,0.3410789608757396,0.34053030939341566,0.33757399377978525,0.33522800450268403,0.3342310351622431
mimic_sites_unit_x_system,CCU-care,7,2,11.0,0.2659761579050225,0.3,0.5,0.3980044501201414,0.39911238915131014,0.40702262842654807,0.4041560330701053,0.3980044501201414,0.4019708312892297,0.40350668355124625,0.40702262842654807,0.40690520719708334,0.4041560330701053,0.4039169395185055,0.4030286163118492,0.40153065142576766,0.40032218317675955,0.39911238915131014
mimic_sites_unit_x_system,CCU-care,8,2,11.0,0.2659761579050225,0.7,0.2,0.3382457845781766,0.3514962004490134,0.35311206859294625,0.3470884993589642,0.3382457845781766,0.3435834989541719,0.3470884993589642,0.34856724159134567,0.34943903677737576,0.3509762620922941,0.35264628719056434,0.35311206859294625,0.3526357313233933,0.35205136339702126,0.3514962004490134
mimic_sites_unit_x_system,CCU-care,9,2,11.0,0.2659761579050225,0.6,0.5,0.2866750832670805,0.2866881630488427,0.28946927578957093,0.28813656064444904,0.2866750832670805,0.2870814748320909,0.2857558627468757,0.28564000353232116,0.28901490128605173,0.28813656064444904,0.28946927578957093,0.2888055232545621,0.28822490850283283,0.28758526015886704,0.2866881630488427
mimic_sites_unit_x_system,CCU-care,0,3,11.0,0.21009570855202223,0.6,0.5,0.30115569540122195,0.3130610609189001,0.3136716750225249,0.3114129645462758,0.30115569540122195,0.3028663076085239,0.3049993140804801,0.31134776147367255,0.31081180142314646,0.3114129645462758,0.3136716750225249,0.3133595964033268,0.3128688155562956,0.31287059255683897,0.3130610609189001
mimic_sites_unit_x_system,CCU-care,1,3,11.0,0.21009570855202223,0.0,0.2,0.3503743119504029,0.3377273185690627,0.3503743119504029,0.34814005280479626,0.3503743119504029,0.34935286624676076,0.34814005280479626,0.3460637884052348,0.3455792025819896,0.34433253965262495,0.3430917615294849,0.34157933449853817,0.34029000129574183,0.3393543557829632,0.3377273185690627
mimic_sites_unit_x_system,CCU-care,2,3,11.0,0.21009570855202223,1.0,0.5,0.3606353107850547,0.3700292291649304,0.3700292291649304,0.36940981604502965,0.3606353107850547,0.36326511864222105,0.3660124960175332,0.36861429422027225,0.3692753537568378,0.36940981604502965,0.36891801912342287,0.36857529075377005,0.3681864441849147,0.36859683679560834,0.3700292291649304
mimic_sites_unit_x_system,CCU-care,3,3,11.0,0.21009570855202223,0.9,1.0,0.3677768328647492,0.38315476107676977,0.38466722651742236,0.38315476107676977,0.3677768328647492,0.3708631524472435,0.37198490764204545,0.37280113017141836,0.37414266206326946,0.3770399438705448,0.37838068377635864,0.379447736320573,0.38361515208849417,0.38466722651742236,0.38315476107676977
