target,target_db,seed,n_partners,n_cross,frac_cross,epv_target,n_target,benefit,helped
m3:MICU-meta,0,0,3,1,0.3333333333333333,27.96,5469,-0.01537623162375834,0
m3:MICU-meta,0,1,3,1,0.3333333333333333,27.96,5469,-0.02506782308830685,0
m3:MICU-meta,0,0,3,2,0.6666666666666666,27.96,5469,-0.012517736776950894,0
m3:MICU-meta,0,1,3,2,0.6666666666666666,27.96,5469,-0.025721368935238464,0
m3:MICU-meta,0,0,3,2,0.6666666666666666,27.96,5469,-0.04112121956841541,0
m3:MICU-meta,0,1,3,2,0.6666666666666666,27.96,5469,-0.04640788568537929,0
m3:MICU-meta,0,0,3,2,0.6666666666666666,27.96,5469,-0.017552919806645306,0
m3:MICU-meta,0,1,3,2,0.6666666666666666,27.96,5469,-0.0005272846727807923,0
m3:MICU-meta,0,0,3,2,0.6666666666666666,27.96,5469,-0.029979448096989547,0
m3:MICU-meta,0,1,3,2,0.6666666666666666,27.96,5469,-0.008744146122492968,0
m3:MICU-meta,0,0,4,3,0.75,27.96,5469,-0.02427529346202917,0
m3:MICU-meta,0,1,4,3,0.75,27.96,5469,-0.0031118512445734714,0
m3:MICU-meta,0,0,3,2,0.6666666666666666,27.96,5469,-0.05194152113593936,0
m3:MICU-meta,0,1,3,2,0.6666666666666666,27.96,5469,-0.04683316221365352,0
m3:MICU-meta,0,0,1,0,0.0,27.96,5469,-0.029096643308095527,0
m3:MICU-meta,0,1,1,0,0.0,27.96,5469,-0.026975850188608486,0
m3:MICU-meta,0,0,3,1,0.3333333333333333,27.96,5469,-0.03127408486563016,0
m3:MICU-meta,0,1,3,1,0.3333333333333333,27.96,5469,-0.019159254414244486,0
m3:MICU-meta,0,0,3,2,0.6666666666666666,27.96,5469,-0.04580625554783502,0
m3:MICU-meta,0,1,3,2,0.6666666666666666,27.96,5469,-0.03869301155828697,0
m3:MICU-meta,0,0,2,1,0.5,27.96,5469,-0.035989583448268914,0
m3:MICU-meta,0,1,2,1,0.5,27.96,5469,-0.02976481336861081,0
m3:MICU-meta,0,0,2,1,0.5,27.96,5469,-0.02043488423675288,0
m3:MICU-meta,0,1,2,1,0.5,27.96,5469,-0.025952930642853034,0
m3:MICU-meta,0,0,4,3,0.75,27.96,5469,-0.0022917687284380595,0
m3:MICU-meta,0,1,4,3,0.75,27.96,5469,-0.016856888864606068,0
m3:MICU-meta,0,0,3,2,0.6666666666666666,27.96,5469,-0.029535331080440486,0
m3:MICU-meta,0,1,3,2,0.6666666666666666,27.96,5469,-0.01921091891246457,0
m3:MICU-meta,0,0,2,1,0.5,27.96,5469,-0.07377395384853108,0
m3:MICU-meta,0,1,2,1,0.5,27.96,5469,-0.0684260597184635,0
m3:MICU-meta,0,0,2,1,0.5,27.96,5469,-0.020604810986735667,0
m3:MICU-meta,0,1,2,1,0.5,27.96,5469,-0.008129096741769759,0
m3:MICU-meta,0,0,2,2,1.0,27.96,5469,0.00023835760335488843,1
m3:MICU-meta,0,1,2,2,1.0,27.96,5469,-0.017460289902313797,0
m3:MICU-meta,0,0,1,1,1.0,27.96,5469,-0.017500508630061806,0
m3:MICU-meta,0,1,1,1,1.0,27.96,5469,-0.012591376630029127,0
m3:MICU-meta,0,0,2,2,1.0,27.96,5469,-0.024842480829484537,0
