dataset,target,seed,epv_target,k_partners,bias2,variance,auprc,n_draws
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,7.2333333333333325,1,0.16894197796485605,0.5633404880991821,0.3298744145357038,24
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,7.2333333333333325,2,0.43811076428116597,0.5042931602960382,0.3316298009061674,24
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,7.2333333333333325,3,0.6874232072622807,0.5128200941318065,0.3171825881155353,24
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),0,7.2333333333333325,4,0.7993906763255927,0.47846818390862517,0.31554098721828555,24
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,7.2333333333333325,0,0.05684876695040288,0.49884630474684166,0.3214431851216876,24
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,7.2333333333333325,1,0.28323822610051475,0.5800202659013249,0.32326805455586527,24
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,7.2333333333333325,2,0.4440339080476618,0.4685781026847889,0.32311437467646364,24
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,7.2333333333333325,3,0.7709983862133886,0.3386092192179861,0.3136846174136515,24
mimic4-9site,Cardiac Vascular Intensive Care Unit (CVICU),1,7.2333333333333325,4,0.9366124571733389,0.2118852493878678,0.3088571603719716,24
mimic4-9site,Coronary Care Unit (CCU),0,19.4,0,0.27589058253320325,0.7694535875748948,0.42516315556870166,24
mimic4-9site,Coronary Care Unit (CCU),0,19.4,1,0.8200728023563574,0.9135926435325578,0.3984983392333044,24
mimic4-9site,Coronary Care Unit (CCU),0,19.4,2,0.9386345436393888,0.7614732168485633,0.38577298319193104,24
mimic4-9site,Coronary Care Unit (CCU),0,19.4,3,1.035794637250403,0.5410747732062108,0.3815219476266926,24
mimic4-9site,Coronary Care Unit (CCU),0,19.4,4,1.8410367423741187,0.346381724756138,0.36794424177524915,24
mimic4-9site,Coronary Care Unit (CCU),1,19.4,0,0.14655148764888706,0.768778737609702,0.4206160203928908,24
mimic4-9site,Coronary Care Unit (CCU),1,19.4,1,0.5060617560678534,0.9080163558860691,0.3905745792190493,24
mimic4-9site,Coronary Care Unit (CCU),1,19.4,2,1.1446961918089151,0.5647891332792428,0.39487641243299537,24
mimic4-9site,Coronary Care Unit (CCU),1,19.4,3,1.2582613958061584,0.26814782498861667,0.3989313972475559,24
mimic4-9site,Coronary Care Unit (CCU),1,19.4,4,1.5650432693433987,0.21251658166280143,0.40202833961211226,24
mimic4-9site,Medical Intensive Care Unit (MICU),0,46.15882352941176,0,1.670683097639577,1.1331046466426289,0.4412563357595342,24
mimic4-9site,Medical Intensive Care Unit (MICU),0,46.15882352941176,1,2.7348310073415782,0.7016853812068753,0.4176113890922779,24
mimic4-9site,Medical Intensive Care Unit (MICU),0,46.15882352941176,2,2.820385477017474,0.7545380187613854,0.4092829406573592,24
mimic4-9site,Medical Intensive Care Unit (MICU),0,46.15882352941176,3,3.396462044394332,0.41025187821158754,0.4071684592375968,24
mimic4-9site,Medical Intensive Care Unit (MICU),0,46.15882352941176,4,3.637196441926037,0.29010702218271817,0.3987293670741232,24
mimic4-9site,Medical Intensive Care Unit (MICU),1,46.15882352941176,0,0.09577869473884729,0.4016988828132592,0.45541038884444635,24
mimic4-9site,Medical Intensive Care Unit (MICU),1,46.15882352941176,1,0.25907459532001276,0.44914153026083614,0.4315898885816405,24
mimic4-9site,Medical Intensive Care Unit (MICU),1,46.15882352941176,2,0.42043461395958354,0.4771878526872427,0.41165837512170783,24
mimic4-9site,Medical Intensive Care Unit (MICU),1,46.15882352941176,3,0.5944428486030156,0.29882590547788523,0.4247752286947592,24
mimic4-9site,Medical Intensive Care Unit (MICU),1,46.15882352941176,4,0.6233945311904341,0.19765825978594564,0.4156752165339488,24
mimic4-9site,Medical/Surgical Intensive Care Unit (MICU/SICU),0,32.28235294117647,0,0.03544670320412676,0.3571220251065726,0.3593228795417022,24
mimic4-9site,Medical/Surgical Intensive Care Unit (MICU/SICU),0,32.28235294117647,1,0.3166367163362818,0.6909384601045444,0.33180572220230226,24
mimic4-9site,Medical/Surgical Intensive Care Unit (MICU/SICU),0,32.28235294117647,2,0.6135481851891098,0.533021099112216,0.3232185278753085,24
mimic4-9site,Medical/Surgical Intensive Care Unit (MICU/SICU),0,32.28235294117647,3,0.8878419832880519,0.5164316317304324,0.31002907830429854,24
mimic4-9site,Medical/Surgical Intensive Care Unit (MICU/SICU),0,32.28235294117647,4,0.9369594666312441,0.42856096482225103,0.3215806042951843,24
mimic4-9site,Medical/Surgical Intensive Care Unit (MICU/SICU),1,32.28235294117647,0,0.02841544762590892,0.4436054347248897,0.35596606146619364,24
mimic4-9site,Medical/Surgical Intensive Care Unit (MICU/SICU),1,32.28235294117647,1,0.37697425295430764,0.5569423682907461,0.3493751595046824,24
mimic4-9site,Medical/Surgical Intensive Care Unit (MICU/SICU),1,32.28235294117647,2,0.7579076532860021,0.44849800692284586,0.3294056441962275,24
mimic4-9site,Medical/Surgical Intensive Care Unit (MICU/SICU),1,32.28235294117647,3,1.1270638000492328,0.3122035926622975,0.31694273747129387,24
mimic4-9site,Medical/Surgical Intensive Care Unit (MICU/SICU),1,32.28235294117647,4,1.0979150487161473,0.20067030979654535,0.3243024949311601,24
mimic4-9site,Neuro Intermediate,0,2.1,0,0.22369206412033957,0.6714108276245899,0.11146257406329126,24
mimic4-9site,Neuro Intermediate,0,2.1,1,1.8608341182094605,0.5635279867377717,0.08813959345134015,24
mimic4-9site,Neuro Intermediate,0,2.1,2,2.4660857212530436,0.43758650713965874,0.09186483280736239,24
mimic4-9site,Neuro Intermediate,0,2.1,3,2.7029151083969416,0.2968064800135637,0.09387031318279149,24
mimic4-9site,Neuro Intermediate,0,2.1,4,2.899364687616354,0.18163417672335389,0.097743870373188,24
mimic4-9site,Neuro Intermediate,1,2.1,0,0.12180280666819943,0.7644676055619608,0.10986890574558866,24
mimic4-9site,Neuro Intermediate,1,2.1,1,1.5743492206511107,0.8690602267911478,0.10545222303276618,24
mimic4-9site,Neuro Intermediate,1,2.1,2,2.115631873362386,0.5690448388579122,0.10371833623162198,24
mimic4-9site,Neuro Intermediate,1,2.1,3,2.432008379124655,0.3304794701206646,0.0930504409996999,24
mimic4-9site,Neuro Intermediate,1,2.1,4,2.4556036634889247,0.2843209263962354,0.09537945044784273,24
mimic4-9site,Neuro Stepdown,0,0.5310344827586206,0,0.25331705219208095,1.77520033074288,0.20427010535353027,24
mimic4-9site,Neuro Stepdown,0,0.5310344827586206,1,1.8721722724326628,0.998905950841337,0.25434316544196367,24
mimic4-9site,Neuro Stepdown,0,0.5310344827586206,2,2.345377207509608,0.6020102948547769,0.25422309716164615,24
mimic4-9site,Neuro Stepdown,0,0.5310344827586206,3,2.510026618161517,0.42257540685899847,0.24976114266528796,24
mimic4-9site,Neuro Stepdown,0,0.5310344827586206,4,2.4854817066198787,0.3213744142646145,0.2529324077204116,24
mimic4-9site,Neuro Stepdown,1,0.5310344827586206,0,0.19565370896992298,1.7336561141879379,0.11057251697196309,24
mimic4-9site,Neuro Stepdown,1,0.5310344827586206,1,1.814564431500695,1.212101053772483,0.11762557789057382,24
mimic4-9site,Neuro Stepdown,1,0.5310344827586206,2,1.9547181820061472,0.7747617278010989,0.12070448964397389,24
mimic4-9site,Neuro Stepdown,1,0.5310344827586206,3,2.1342918698372335,0.43146090575303403,0.1338935979739456,24
mimic4-9site,Neuro Stepdown,1,0.5310344827586206,4,2.094101593418346,0.29659785193659227,0.16965798800053786,24
mimic4-9site,Neuro Surgical Intensive Care Unit (Neuro SICU),0,8.37741935483871,0,0.258645643631173,0.9661413543348578,0.5370467916053712,24
mimic4-9site,Neuro Surgical Intensive Care Unit (Neuro SICU),0,8.37741935483871,1,1.308685177195922,1.4634158217775586,0.504082888380608,24
mimic4-9site,Neuro Surgical Intensive Care Unit (Neuro SICU),0,8.37741935483871,2,2.1599750503253112,0.6875435970556653,0.5046420550999903,24
mimic4-9site,Neuro Surgical Intensive Care Unit (Neuro SICU),0,8.37741935483871,3,2.2997718500898365,0.5781541401262685,0.5189173682600354,24
mimic4-9site,Neuro Surgical Intensive Care Unit (Neuro SICU),0,8.37741935483871,4,2.526672467625579,0.40891250888219166,0.513750115513681,24
mimic4-9site,Neuro Surgical Intensive Care Unit (Neuro SICU),1,8.37741935483871,0,0.44528201077007856,1.0711223906349854,0.4868172402733848,24
mimic4-9site,Neuro Surgical Intensive Care Unit (Neuro SICU),1,8.37741935483871,1,2.5644219496110754,1.3814149238615523,0.45783731689233687,24
mimic4-9site,Neuro Surgical Intensive Care Unit (Neuro SICU),1,8.37741935483871,2,3.518811682222587,0.878267569779411,0.43309442001534304,24
mimic4-9site,Neuro Surgical Intensive Care Unit (Neuro SICU),1,8.37741935483871,3,3.3129641454881917,0.4749944412054206,0.4235269069168668,24
mimic4-9site,Neuro Surgical Intensive Care Unit (Neuro SICU),1,8.37741935483871,4,3.4832648008498155,0.33801411200398973,0.4359037089619982,24
mimic4-9site,Surgical Intensive Care Unit (SICU),0,23.31,0,0.0385837209312433,0.34292024146522343,0.2901585646347164,24
