chose_chosen,dataset,epv_target,gain_vs_best_solo,gain_vs_default,gain_vs_selected,gain_vs_tuned,local_best_solo,local_default,local_selected,local_tuned,merge,n_partners,n_target,seed,target
tuned,mimic-11site,9.56,0.0014392115768163682,0.0030734665548980966,0.0014392115768163682,0.0014392115768163682,0.2594105474915333,0.2577762925134516,0.2594105474915333,0.2594105474915333,0.2608497590683497,4,2276,1,SICU-meta
tuned,mimic-11site,9.56,-0.04310869497511899,-0.03924969233169007,-0.04270083446827583,-0.04310869497511899,0.2733940830567775,0.26953508041334856,0.2729862225499343,0.2733940830567775,0.2302853880816585,1,2276,0,SICU-meta
tuned,mimic-11site,9.56,-0.01988084490065664,-0.018246589922574913,-0.01988084490065664,-0.01988084490065664,0.2594105474915333,0.2577762925134516,0.2594105474915333,0.2594105474915333,0.23952970259087666,1,2276,1,SICU-meta
tuned,mimic-11site,9.56,-0.019481307093329847,-0.015622304449900926,-0.019073446586486686,-0.019481307093329847,0.2733940830567775,0.26953508041334856,0.2729862225499343,0.2733940830567775,0.25391277596344763,3,2276,0,SICU-meta
tuned,mimic-11site,9.56,0.024060089687282127,0.025694344665363855,0.024060089687282127,0.024060089687282127,0.2594105474915333,0.2577762925134516,0.2594105474915333,0.2594105474915333,0.28347063717881543,3,2276,1,SICU-meta
tuned,mimic-11site,9.56,-0.027944109650127974,-0.024085107006699052,-0.027536249143284813,-0.027944109650127974,0.2733940830567775,0.26953508041334856,0.2729862225499343,0.2733940830567775,0.2454499734066495,2,2276,0,SICU-meta
tuned,mimic-11site,9.56,0.024434264693636354,0.026068519671718082,0.024434264693636354,0.024434264693636354,0.2594105474915333,0.2577762925134516,0.2594105474915333,0.2594105474915333,0.28384481218516966,2,2276,1,SICU-meta
tuned,mimic-11site,9.56,-0.008187739108471204,-0.004328736465042282,-0.007779878601628043,-0.008187739108471204,0.2733940830567775,0.26953508041334856,0.2729862225499343,0.2733940830567775,0.2652063439483063,4,2276,0,SICU-meta
tuned,mimic-11site,9.56,0.04468031549002638,0.04631457046810811,0.04468031549002638,0.04468031549002638,0.2594105474915333,0.2577762925134516,0.2594105474915333,0.2594105474915333,0.3040908629815597,4,2276,1,SICU-meta
tuned,mimic-11site,9.56,0.01740583345803015,0.021264836101459073,0.01781369396487331,0.01740583345803015,0.2733940830567775,0.26953508041334856,0.2729862225499343,0.2733940830567775,0.29079991651480763,1,2276,0,SICU-meta
tuned,mimic-11site,9.56,0.03903644426405467,0.0406706992421364,0.03903644426405467,0.03903644426405467,0.2594105474915333,0.2577762925134516,0.2594105474915333,0.2594105474915333,0.298446991755588,1,2276,1,SICU-meta
tuned,mimic-11site,6.53125,-0.014618621365322382,-0.012589573558532963,-0.014618621365322382,-0.014618621365322382,0.28907853148053964,0.2870494836737502,0.28907853148053964,0.28907853148053964,0.27445991011521725,2,1880,0,TSICU-care
tuned,mimic-11site,6.53125,0.0008024338340207327,0.004456615800001618,0.00501772153597374,0.0008024338340207327,0.2996579915237152,0.2960038095577343,0.2954427038217622,0.2996579915237152,0.3004604253577359,2,1880,1,TSICU-care
tuned,mimic-11site,6.53125,-0.023183034524367152,-0.021153986717577733,-0.023183034524367152,-0.023183034524367152,0.28907853148053964,0.2870494836737502,0.28907853148053964,0.28907853148053964,0.2658954969561725,1,1880,0,TSICU-care
tuned,mimic-11site,6.53125,-0.0070218927326287095,-0.0033677107666478245,-0.0028066050306757018,-0.0070218927326287095,0.2996579915237152,0.2960038095577343,0.2954427038217622,0.2996579915237152,0.2926360987910865,1,1880,1,TSICU-care
tuned,mimic-11site,6.53125,-0.022853147023321474,-0.020824099216532055,-0.022853147023321474,-0.022853147023321474,0.28907853148053964,0.2870494836737502,0.28907853148053964,0.28907853148053964,0.26622538445721816,4,1880,0,TSICU-care
tuned,mimic-11site,6.53125,-0.021099354749629595,-0.01744517278364871,-0.016884067047676588,-0.021099354749629595,0.2996579915237152,0.2960038095577343,0.2954427038217622,0.2996579915237152,0.2785586367740856,4,1880,1,TSICU-care
tuned,mimic-11site,6.53125,0.01112299698131991,0.01315204478810933,0.01112299698131991,0.01112299698131991,0.28907853148053964,0.2870494836737502,0.28907853148053964,0.28907853148053964,0.30020152846185955,1,1880,0,TSICU-care
tuned,mimic-11site,6.53125,0.008532705713232891,0.012186887679213776,0.012747993415185899,0.008532705713232891,0.2996579915237152,0.2960038095577343,0.2954427038217622,0.2996579915237152,0.3081906972369481,1,1880,1,TSICU-care
tuned,mimic-11site,6.53125,0.011609795901126818,0.013638843707916237,0.011609795901126818,0.011609795901126818,0.28907853148053964,0.2870494836737502,0.28907853148053964,0.28907853148053964,0.30068832738166645,2,1880,0,TSICU-care
tuned,mimic-11site,6.53125,0.0017304896501494915,0.0053846716161303765,0.005945777352102499,0.0017304896501494915,0.2996579915237152,0.2960038095577343,0.2954427038217622,0.2996579915237152,0.3013884811738647,2,1880,1,TSICU-care
tuned,mimic-11site,6.53125,0.016542432143870633,0.018571479950660053,0.016542432143870633,0.016542432143870633,0.28907853148053964,0.2870494836737502,0.28907853148053964,0.28907853148053964,0.30562096362441027,3,1880,0,TSICU-care
tuned,mimic-11site,6.53125,-0.0001583021543982155,0.0034958798115826695,0.004056985547554792,-0.0001583021543982155,0.2996579915237152,0.2960038095577343,0.2954427038217622,0.2996579915237152,0.299499689369317,3,1880,1,TSICU-care
tuned,mimic-11site,6.53125,0.012681262676769278,0.014710310483558697,0.012681262676769278,0.012681262676769278,0.28907853148053964,0.2870494836737502,0.28907853148053964,0.28907853148053964,0.3017597941573089,2,1880,0,TSICU-care
